id,keyword,type,createdBy,createdById,createdAt,updatedBy,updatedById,updatedAt
58bff83fbdeac5b071096b97,BZ-IDBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:35 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:35 pm
58bff94fbdeac5b071096bb1,BZ-SBIACS,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:07 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:07 pm
58bff979bdeac5b071096bb5,BZ-SBIINB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:49 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:49 pm
58bff93dbdeac5b071096bb0,BZ-SCISMS,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:49 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:49 pm
59144520c9887a7c22f73986,CASH BACK,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:00 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:00 am
5914452bc9887a7c22f73987,CASHBACK,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:11 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:11 am
5852330c7fa7c0de03a80fa5,CLAIM,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:08 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:08 am
5852334f7fa7c0de03a80fad,CONGRATS,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:08:15 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:08:15 am
5891723556999109118c8f18,"Clearance Sale ",NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:29:25 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:29:25 am
5891911556999109118c8f1f,Credit Card,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 7:41:09 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 7:41:09 am
5891912556999109118c8f20,Creditcard,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 7:41:25 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 7:41:25 am
57ad97e230f0e59e1f712606,Credited,POSITIVE,Admin User,5785ee389675708b7c6b62cc,2016-08-12 9:33:22 am,Admin User,5785ee389675708b7c6b62cc,2016-08-12 9:33:22 am
58bff8bcbdeac5b071096ba3,DH-FROMSC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:40 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:40 pm
58bff9acbdeac5b071096bbb,DM-AMEX,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:40 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:40 pm
58bff9c6bdeac5b071096bbe,DM-AMEXIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:06 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:06 pm
58bffa16bdeac5b071096bc5,DM-BOBIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:33:26 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:33:26 pm
58bff9e3bdeac5b071096bc1,DM-BOBTXN,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:35 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:35 pm
58bffa80bdeac5b071096bd1,DM-BOIIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:12 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:12 pm
58bff8b3bdeac5b071096ba2,DM-FROMSC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:31 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:31 pm
58bff707bdeac5b071096b7b,DM-HBCBK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:20:23 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:20:23 pm
58bff776bdeac5b071096b83,DM-ICICI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:14 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:14 pm
58bff798bdeac5b071096b87,DM-ICICIB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:48 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:48 pm
58bff81abdeac5b071096b93,DM-IDBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:24:58 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:24:58 pm
58bffb04bdeac5b071096bdf,DM-RBLBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:24 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:24 pm
58bffac3bdeac5b071096bd8,DM-YESBANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:19 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:19 pm
585233257fa7c0de03a80fa8,DOWNLOAD,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:33 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:33 am
58bff89abdeac5b071096b9f,DZ-FROMSC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:06 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:06 pm
58917ec456999109118c8f1e,Deal,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:23:00 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:23:00 am
5914458ac9887a7c22f7398b,Dhamaka,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:05:46 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:05:46 am
58916ef956999109118c8f15,Discount,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:15:37 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:15:37 am
58bff6febdeac5b071096b7a,HDFC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:20:14 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:20:14 pm
